AHJID,AHJ,State
1953,Guadalupe Valley Electric Cooperative (GVEC),TX
1954,"Hallettsville, City of",TX
1955,Hamilton County Electric Cooperative Association,TX
1956,"Hearne, City of",TX
1957,"Hemphill, City of",TX
1958,"Hempstead, City of",TX
1959,"HILCO Electric Cooperative, Inc.",TX
1960,"Hondo, City of",TX
1961,"Houston County Electric Cooperative, Inc.",TX
1962,"Jasper, City of",TX
1963,"Jasper-Newton Electric Cooperative, Inc.",TX
1964,"Kerrville, City of",TX
1965,"La Grange, City of",TX
1966,"Lampasas, City of",TX
1967,"Lea County Electric Cooperative, Inc.",TX
1968,"Liberty, City of",TX
1969,"Livingston, City of",TX
1970,"Llano, City of",TX
1971,"Lockhart, City of",TX
1972,"Lubbock, City of",TX
1973,"Luling, City of",TX
1974,"Lyntegar Electric Cooperative, Inc.",TX
1975,"Magic Valley Electric Cooperative, Inc. (MVEC)",TX
1976,"McLennan County Electric Cooperative, Inc.",TX
1977,"Medina Electric Cooperative, Inc.",TX
1978,Hood River County,OR
1979,New Braunfels Utilities,TX
1980,"Newton, City of",TX
1981,"North Plains Electric Cooperative, Inc.",TX
1983,"Panola-Harrison Electric Cooperative, Inc.",TX
1984,Pedernales Electric Cooperative,TX
1985,Reliant Energy,TX
1986,"Rita Blanca Electric Cooperative, Inc.",TX
1987,"Robstown, City of",TX
1988,"Sam Houston Electric Cooperative, Inc.",TX
1989,"San Bernard Electric Cooperative, Inc.",TX
1990,"San Marcos, City of",TX
1991,"San Patricio Electric Cooperative, Inc.",TX
1992,"San Saba, City of",TX
1993,"Sanger, City of",TX
1994,"Schulenburg, City of",TX
1995,South Plains Electric Cooperative,TX
1996,Southwest Rural Electric Association,TX
1997,"Swisher Electric Cooperative, Inc.",TX
1998,"Timpson, City of",TX
1999,Tri-County Electric Cooperative,TX
2000,Trinity Valley Electric Cooperative,TX
2001,"Tulia, City of",TX
2002,United Cooperative Services,TX
2003,"Victoria Electric Cooperative, Inc.",TX
2004,Weatherford Electric,TX
2005,"Weimar, City of",TX
2006,"Wharton County Electric Cooperative, Inc.",TX
2007,"Whitesboro, City of",TX
2008,"Yoakum, City of",TX
2009,A&N Electric Cooperative,VA
2010,Appalachian Power (AEP),VA
2011,Potomac Edison (WV),WV
2012,Dominion Virginia Power,VA
2013,Northern Virginia Electric Cooperative,VA
2014,Rappahannock Electric Cooperative,VA
2015,Trico Electric Cooperative,AZ
2016,Oncor (TXU Electric Co.),TX
2017,Pennsylvania,PA
2018,---,CA
2019,Beverly,MA
2022,Salem,MA
2023,Arlington,MA
2024,Pepperell,MA
2025,Carlisle,MA
2026,Shirley,MA
2027,Princeton Municipal Light Department (PMLD),MA
2028,Amherst,MA
2029,Maynard,MA
2030,Becket,MA
2031,Weston,MA
2032,Westhampton,MA
2033,Wenham,MA
2034,Bolton,MA
2035,Chesterfield,MA
2036,Belchertown,MA
2037,Northampton,MA
2038,Calvert County,MD
2039,Fairfax County,VA
2041,Alexandria,VA
2042,Franklin Regional Council of Governments (FRCOG),MA
2043,Ashfield,MA
2044,Bernardston,MA
2045,Buckland,MA
2046,Charlemont,MA
2047,Conway,MA
2048,Erving,MA
2049,Gill,MA
2050,Greenfield Town,MA
2051,Hawley,MA
2052,Heath,MA
2053,Leverett,MA
2054,Leyden,MA
2055,Rowe,MA
2056,Shelburne,MA
2057,Shutesbury,MA
2058,Whately,MA
2059,Virginia,VA
2060,East Longmeadow,MA
2062,Doylestown Borough,PA
2063,Hatfield,PA
2064,Delanco Township,NJ
2065,Wayne,PA
2066,Cheltenham Township,PA
2067,Charlestown Township,PA
2068,Chester County,PA
2069,Media Borough,PA
2070,Philadelphia,PA
2071,Concord Township,PA
2073,Southbridge Town,MA
2074,Holliston,MA
2075,Taunton,MA
2076,Wrentham,MA
2077,Pembroke,MA
2078,Sharon,MA
2079,North Brookfield,MA
2080,Greenfield Town,NY
2081,Hoosick Town,NY
2082,Schaghticoke,NY
2084,White Creek,NY
2085,Amsterdam  City,NY
2086,Waterford Town,NY
2092,Gaithersburg,MD
2093,Greenwood Village,CO
2094,Prince William County,VA
2095,Gaston,OR
2096,Reading,MA
2097,Reading Municipal Light Department,MA
2098,Barnstable Town/City,MA
2099,Bourne,MA
2100,Brewster,MA
2101,Dennis,MA
2102,Eastham,MA
2103,Yarmouth,MA
